"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"BRIDGEWATER ON LODDON",3,0,2,0
"BRIGHT",51,1,28,1
"BRIGHTON",129,3,70,3
"BRIGHTON BEACH",2,0,1,0
"BRIGHTON EAST",24,1,9,0
"BRIGHTON NORTH",3,1,1,0
"BRIM",3,0,2,0
"BRIMIN",1,0,1,0
"BRIMPAEN",1,0,2,0
"BROADFORD",14,1,2,0
"BROADMEADOWS",23,1,13,0
"BROOKLYN",3,0,2,0
"BROWN HILL",2,0,1,0
"BROWNS PLAINS",2,0,1,0
"BRUNSWICK",169,13,67,5
"BRUNSWICK EAST",99,5,47,1
"BRUNSWICK NORTH",1,1,1,0
"BRUNSWICK WEST",28,1,15,0
"BRUTHEN",7,0,3,0
"BUANGOR",1,0,1,0
"BUCHAN",4,0,2,0
"BUCKLAND VALLEY",1,0,1,0
"BUCKLEY",1,0,1,0
"BUFFALO RIVER",2,0,1,0
"BULLA",2,0,1,0
"BULLEEN",28,1,10,3
"BULN BULN",2,0,1,0
"BUNBARTHA",1,0,1,0
"BUNDALAGUAH",1,0,1,0
"BUNDALONG",4,0,3,0
"BUNDOORA",78,7,37,1
"BUNGAREE",3,0,1,0
"BUNINYONG",13,1,6,0
"BUNYIP",8,1,3,0
"BURNLEY",1,0,2,0
"BURNSIDE",4,0,2,0
"BURNSIDE HEIGHTS",1,0,1,0
"BURRAMINE",2,0,1,0
"BURWOOD",27,5,9,0
"BURWOOD EAST",35,1,18,0
"BUSHFIELD",1,0,1,0
"BUXTON",6,1,2,0
"BYADUK",1,0,1,0
"BYAWATHA",1,0,1,0
"CAIRNLEA",8,0,5,0
"CALDERMEADE",1,0,1,0
"CALIFORNIA GULLY",2,0,1,0
"CALIVIL",2,0,1,0
"CAMBERWELL",111,19,59,1
"CAMBERWELL SOUTH",1,0,2,0
"CAMBRIAN HILL",1,0,1,0
"CAMPBELLFIELD",28,0,9,2
"CAMPBELLS CREEK",3,0,2,0
"CAMPBELLTOWN",1,0,2,0
"CAMPERDOWN",18,1,7,1
"CANN RIVER",4,1,2,0
"CANTERBURY",14,1,9,0
"CAPE BRIDGEWATER",2,0,2,0
"CAPE CLEAR",1,0,2,0
"CAPE OTWAY",3,0,2,0
"CAPE PATERSON",2,1,1,0
"CAPE SCHANCK",7,0,1,0
"CAPE SCHANK",1,0,1,0
"CAPE WOOLAMAI",5,0,6,0
"CARAMUT",2,0,2,0
"CARAPOOEE WEST",1,0,1,0
"CARDIGAN",2,0,1,0
"CARDINIA",2,0,2,0
"CARDINIA LAKES",1,0,2,0
"CARDROSS",4,0,2,0
"CARISBROOK",10,1,4,0
"CARLSRUHE",2,0,1,0
"CARLTON",186,2,83,1
"CARLTON NORTH",58,4,26,0
"CARNEGIE",79,7,49,1
"CARNGHAM",1,0,1,0
"CAROLINE SPRINGS",36,3,21,2
"CARRAJUNG LOWER",2,0,1,0
"CARRANBALLAC",1,0,1,0
"CARRUM",14,0,9,0
"CARRUM DOWNS",35,1,17,1
"CASSILIS",2,0,1,0
"CASTERTON",11,1,4,0
"CASTLEMAINE",50,0,30,1
"CATANI",4,0,1,0
"CATHCART",2,0,1,0
"CAULFIELD",27,4,11,2
"CAULFIELD EAST",11,3,8,1
"CAULFIELD NORTH",17,0,8,0
"CAULFIELD SOUTH",24,2,16,0
"CAVEAT VIA SEYMOUR",1,0,1,0
"CAVENDISH",3,0,2,0
"CERES",1,0,1,0
"CHADSTONE",43,2,29,1
"CHARLTON",14,1,5,0
"CHELSEA",28,0,18,2
"CHELSEA HEIGHTS",10,2,5,1
"CHELTENHAM",86,2,42,3
"CHESHUNT",6,0,2,0
"CHEWTON",2,1,2,0
"CHILTERN",10,1,4,0
"CHILWELL",1,0,1,0
"CHIRNSIDE PARK",30,0,11,1
"CHUM CREEK",1,0,1,0
"CHURCHILL",9,1,3,0
"CHURCHILL ISLAND",1,0,2,0
"CLARINDA",3,0,2,0
"CLARKEFIELD",1,0,2,0
"CLAYTON",87,7,49,4
"CLAYTON NORTH",2,0,2,0
"CLAYTON SOUTH",17,2,7,0
"CLEMATIS",1,0,1,0
"CLIFTON HILL",27,0,11,0
"CLIFTON SPRINGS",6,1,3,1
"CLUNES",11,0,4,0
"CLYDE",7,1,5,0
"CLYDE NORTH",6,0,4,0
"COBDEN",10,0,2,1
"COBRAM",27,2,6,1
"COBURG",76,6,33,2
"COBURG NORTH",13,0,7,0
"COCKATOO",6,0,4,0
"COGHILLS CREEK",3,0,1,0
"COHUNA",13,0,3,0
"COLAC",46,0,16,5
"COLAC EAST",1,0,2,0
"COLBINABBIN",9,0,2,0
"COLDSTREAM",38,1,7,0
"COLERAINE",8,0,3,0
"COLLINGWOOD",127,1,45,0
"CONDAH",3,0,1,0
"CONGUPNA",2,0,2,0
"CONNEWARRE",5,0,2,0
"COOLAROO",6,1,2,2
"COOMA",1,0,1,0
"COOPERS CREEK",1,0,1,0
"COORIEMUNGLE",3,0,1,0
"CORA LYNN",1,0,1,0
"CORADJIL VIA COBDEN",1,1,1,0
"CORINELLA",5,0,4,0
"CORIO",21,2,5,2
"CORNELLA",3,0,1,0
"CORONET BAY",1,0,2,0
"COROP",7,0,1,0
"COROROOKE",1,0,2,0
"CORRYONG",14,0,5,1
"COTTLES BRIDGE",3,0,1,0
"COWES",68,5,36,2
"COWES  PHILLIP ISLAND",2,0,3,0
"COWWARR",3,0,2,0
"CRAIGIE",1,0,1,0
"CRAIGIEBURN",51,4,31,2
"CRAIGIEBURN HIGHLANDS",1,0,2,0
"CRANBOURNE",55,5,25,4
"CRANBOURNE EAST",8,0,5,0
"CRANBOURNE NORTH",6,0,6,0
"CRANBOURNE SOUTH",2,0,1,0
"CRANBOURNE WEST",12,0,11,0
"CREMORNE",19,0,12,0
"CRESSY",2,0,1,0
"CRESWICK",15,1,3,0
"CRIB POINT",6,0,1,0
"CROWLANDS",1,0,1,0
"CROYDON",77,4,43,2
"CROYDON HILLS",2,0,2,0
"CROYDON NORTH",5,1,2,0
"CROYDON SOUTH",12,2,7,0
"CUDGEWA",2,0,2,0
"CULGOA",4,0,2,0
"CULLULLERAINE",2,0,2,0
"CURDIE VALE",1,0,1,0
"CURLEWIS",8,0,3,0
"CURLEWIS VIA DRYSDALE",1,0,1,0
"DADSWELLS BRIDGE",1,0,2,0
"DALLAS",2,0,1,0
"DALYSTON",2,0,2,0
"DANDENONG",87,9,30,6
"DANDENONG NORTH",11,1,5,0
"DANDENONG SOUTH",18,0,7,0
"DANDENONG WEST",1,0,2,0
"DARGO",3,0,2,0
"DARLEY",2,0,2,0
"DARLINGTON",1,0,2,0
"DARNUM",2,0,2,0
"DARRAWEIT GUIM",1,0,1,0
"DARTMOOR",4,0,1,0
"DARTMOUTH",1,0,1,0
"DAYLESFORD",44,0,23,2
"DEANS MARSH",5,0,3,0
"DEDERANG",4,0,1,0
"DEEPDENE",6,1,4,0
"DEER PARK",26,1,13,2
"DELACOMBE",2,0,1,0
"DELAHEY",3,1,3,0
"DELEGATE RIVER",1,0,2,0
"DENNINGTON",3,0,1,0
"DENVER",2,0,1,0
"DEREEL",1,0,1,0
"DERGHOLM",1,0,1,0
"DERRIMUT",11,0,5,0
"DERRINALLUM",5,0,3,0
"DEVENISH",1,0,1,0
"DEVON MEADOWS",1,0,1,0
"DHURRINGILE",1,0,1,0
"DIAMOND CREEK",23,2,11,1
"DIGBY",1,0,1,0
"DIGGERS REST",8,1,4,0
"DIMBOOLA",10,1,3,0
"DINGEE",2,0,2,0
"DINGLEY",10,0,3,1
"DINGLEY VILLAGE",7,0,6,0
"DINNER PLAIN",11,1,3,0
"DIXIE",1,0,1,0
"DIXONS CREEK",16,0,6,0
"DOCKLANDS",178,2,80,0
"DONALD",12,1,3,0
"DONCASTER",53,5,25,2
"DONCASTER EAST",82,14,43,1
"DONCASTER WEST",1,0,2,0
"DONNYBROOK",1,0,1,0
"DONVALE",11,0,4,0
"DOOEN",2,0,1,0
"DOOKIE",5,0,2,0
"DOOKIE COLLEGE",1,0,2,0
"DOREEN",18,0,12,0
"DOVETON",17,1,4,1
"DROMANA",54,5,21,2
"DROPMORE",1,0,1,0
"DROUIN",30,3,7,1
"DROUIN EAST",3,0,2,0
"DROUIN WEST",1,0,1,0
"DRUMCONDA",1,0,2,0
"DRUMCONDRA",2,0,1,0
"DRUMMOND NORTH",2,0,1,0
"DRUMMOND VIA KYNETON",1,0,1,0
"DRUNG",2,0,1,0
"DRY DIGGINGS",2,0,2,0
"DRYSDALE",26,3,9,0
"DUMBALK",2,0,1,0
"DUNKELD",12,0,2,0
"DUNNSTOWN",3,0,2,0
"DUNOLLY",8,0,4,0
"DURHAM LEAD",1,0,1,0
"EAGLE POINT",3,0,2,0
"EAGLEHAWK",17,0,6,1
"EAGLEMONT",4,2,3,0
"EAST BALWYN",1,1,1,0
"EAST BENTLEIGH",2,0,1,0
"EAST BRUNSWICK",4,0,2,0
"EAST BURWOOD",1,0,2,0
"EAST COBURG",2,0,1,0
"EAST DONCASTER",1,0,1,0
"EAST GEELONG",8,0,6,0
"EAST HAWTHORN",3,1,2,0
"EAST IVANHOE",2,1,1,0
"EAST KEILOR",1,0,2,0
"EAST MALVERN",4,0,3,0
"EAST MELBOURNE",42,1,18,0
"EAST PRESTON",3,0,3,0
"EAST ST KILDA",3,0,2,0
"EAST THOMASTOWN",1,0,1,0
"EASTWOOD",2,0,2,0
"EBDEN",1,0,2,0
"ECHUCA",80,0,29,3
"ECHUCA WEST",1,0,1,0
"ECKLIN SOUTH",1,0,1,0
"EDDINGTON",1,0,2,0
"EDENHOPE",10,0,4,0
"EDI",1,0,1,0
"EDITHVALE",17,4,7,0
"EILDON",12,1,5,0
"ELAINE",3,0,1,0
"ELDORADO",2,0,2,0
"ELLIMINYT",7,0,2,0
"ELLINABANK",1,0,1,0
"ELLINBANK",2,0,1,0
"ELMHURST",3,0,2,0
"ELMORE",7,1,3,0
"ELPHINSTONE",4,0,2,0
"ELSTERNWICK",85,9,45,2
"ELTHAM",57,1,28,1
"ELTHAM NORTH",2,0,2,0
"ELWOOD",62,3,32,1
"EMERALD",17,0,10,0
"ENDEAVOUR HILLS",23,3,8,0
"ENFIELD",1,0,2,0
"ENSAY",3,0,2,0
"EPPALOCK",3,0,1,0
"EPPING",73,2,34,4
"EPSOM",6,0,5,0
"ERICA",3,0,3,0
"ESKDALE",4,0,2,0
"ESSENDON",77,1,41,4
"ESSENDON AIRPORT",1,0,2,0
"ESSENDON FIELDS",7,0,5,0
"ESSENDON NORTH",8,0,4,1
"EUMEMMERRING",2,0,3,0
"EUROA",22,0,9,0
"EUROBIN",3,0,2,0
"EVERSLEY",1,0,1,0
"EVERTON",1,0,2,0
"EVERTON UPPER",7,0,1,0
"EYNESBURY",3,0,2,0
"FAIRFIELD",46,3,22,0
"FAIRHAVEN",1,0,1,0
"FALLS CREEK",49,15,21,0
"FARADAY",3,0,1,0
"FAWKNER",22,1,8,2
"FERGUSON",1,0,1,0
"FERNDALE",1,0,1,0
"FERNTREE GULLY",56,5,24,4
