vic_loca_2,num_of_liquor_shops
SOUTH YARRA,235
SOUTHBANK,145
SPOTSWOOD,17
SPRING GULLY,2
SPRING HILL,1
SPRINGHURST,1
SPRINGVALE,75
SPRINGVALE NORTH,1
SPRINGVALE SOUTH,13
ST ALBANS,63
ST ALBANS PARK,1
ST ANDREWS,8
ST ANDREWS BEACH,1
ST ARNAUD,19
ST HELENA,3
ST JAMES,3
ST KILDA,248
ST KILDA EAST,10
ST KILDA WEST,5
ST LEONARDS,11
STANHOPE,6
STANLEY,3
STAWELL,28
STEELS CREEK,7
STOCKDALE,1
STONEHAVEN,1
STONY CREEK,3
STRATFORD,11
STRATH CREEK,4
STRATHBOGIE,7
STRATHDALE,3
STRATHFIELDSAYE,9
STRATHMERTON,9
STRATHMORE,22
STRATHMORE HEIGHTS,1
STRATHTULLOH,1
STREATHAM,1
SULKY,1
SUNBURY,85
SUNNYCLIFFS,2
SUNSHINE,70
SUNSHINE NORTH,10
SUNSHINE WEST,14
SURREY HILLS,35
SURREY HILLS NORTH,1
SUTHERLANDS CREEK,2
SUTTON GRANGE,2
SWAN BAY,3
SWAN HILL,60
SWAN REACH,6
SWANPOOL,4
SWIFTS CREEK,6
SYDENHAM,12
SYNDAL,5
TABILK,3
TAGGERTY,4
TAHARA,1
TALBOT,6
TALLANGATTA,11
TALLANGATTA VALLEY,1
TALLAROOK,5
TALLYGAROOPNA,3
TAMBO UPPER,3
TAMINICK,1
TAMINICK VIA GLENROWAN,1
TANGAMBALANGA,3
TANKERTON,1
TANTARABOO VIA KILMORE,1
TARADALE,3
TARNAGULLA,1
TARNEIT,25
TARRAVILLE,1
TARRAWARRA,1
TARRAWINGEE,5
TARRINGTON,6
TARWIN LOWER,5
TATONG,1
TATURA,19
TATYOON,1
TAWONGA,6
TAWONGA SOUTH,10
TAYLORS HILL,6
TAYLORS LAKE,1
TAYLORS LAKES,30
TECOMA,7
TEESDALE,2
TELANGATUK EAST,1
TEMPLESTOWE,38
TEMPLESTOWE LOWER,4
TERANG,10
TESBURY,1
THE BASIN,9
THE GURDIES,2
THOMASTOWN,48
THOMSON,1
THOONA,1
THORNBURY,88
THORNTON,4
THORPDALE,3
TIMBOON,12
TINAMBA,1
TINTALDRA,2
TOLMIE,2
TONGALA,7
TONGIO,1
TONIMBUK VIA BUNYIP,1
TOOBORAC,4
TOOLAMBA,2
TOOLANGI,4
TOOLERN VALE,3
TOOLLEEN,12
TOONGABBIE,3
TOORA,11
TOORADIN,11
TOORAK,49
TOORONGA,1
TOOTGAROOK,4
TORQUAY,72
TORRUMBARRY,3
TOTTENHAM,3
TRAFALGAR,13
TRARALGON,91
TRARALGON EAST,1
TRARALGON SOUTH,2
TRAVANCORE,2
TRAWOOL,2
TRENTHAM,13
TRENTHAM EAST,1
TRUGANINA,16
TUERONG,6
TULLAMARINE,44
TUNGAMAH,6
TYABB,14
TYABB NORTH,1
TYERS,3
TYLDEN,4
TYNONG,3
TYNONG NORTH,3
TYRENDARRA,1
ULTIMA,3
UNDERA,2
UNDERBOOL,3
UPPER BEACONSFIELD,1
UPPER FERNTREE GULLY,9
UPWEY,21
VENTNOR,3
VENUS BAY,8
VERMONT,16
VERMONT SOUTH,12
VIEWBANK,2
VIOLET TOWN,5
WAAIA,3
WAHGUNYAH,12
WAHRING,1
WALHALLA,5
WALLACE,2
WALLAN,18
WALLAN EAST,1
WALLINGTON,12
WALPEUP,2
WALWA,4
WANDILIGONG,3
WANDIN,3
WANDIN EAST,5
WANDIN NORTH,9
WANDIN YALLOCK,1
WANDONG,3
WANGANDARY,1
WANGANDARY VIA WANGARATTA,2
WANGARATTA,74
WANGARATTA NORTH,1
WANGOOM,1
WANTIRNA,40
WANTIRNA SOUTH,59
WARBURTON,19
WARBURTON EAST,1
WARNEET,2
WARRACKNABEAL,10
WARRAGUL,60
WARRAGUL SOUTH,1
WARRAK,1
WARRANDYTE,28
WARRANDYTE SOUTH,6
WARRANWOOD,2
WARRENBAYNE,1
WARRENHEIP,3
WARRENMANG,1
WARRION,2
WARRNAMBOOL,121
WARTOOK,3
WATCHEM,1
WATERWAYS,1
WATSONIA,16
WATTLE BANK,1
WATTLE FLAT,1
WATTLE GLEN,1
WATTLE HILL,1
WAUBRA,4
WAURN PONDS,17
WEDDERBURN,10
WEEAPROINAH,1
WELSHMANS REEF,3
WELSHPOOL,3
WEMEN,1
WENDOUREE,30
WERRIBEE,96
WERRIBEE PARK,1
WERRIBEE SOUTH,7
WERRIMULL,1
WESBOURN,1
WESBURN,1
WEST FOOTSCRAY,14
WEST HASTINGS,1
WEST IVANHOE,1
WEST MELBOURNE,45
WEST MELTON,2
WEST PRESTON,1
WEST ROSEBUD,1
WEST SUNSHINE,2
WEST WODONGA,3
WESTALL,1
WESTGARTH,1
WESTMEADOWS,8
WHEELERS HILL,20
WHITE HILLS,8
WHITFIELD,11
WHITLANDS,4
WHITTLESEA,15
WHOROULY,3
WHOROULY SOUTH,2
WILLAURA,6
WILLIAMS LANDING,8
WILLIAMSTOWN,101
WILLIAMSTOWN NORTH,2
WILLOW GROVE,4
WILLOWMAVIN,1
WILLUNG SOUTH,1
WINCHELSEA,10
WINDERMERE,1
WINDSOR,122
WINTON,1
WODONGA,81
WOLLERT,5
WONGA PARK,10
WONGARRA,1
WONTHAGGI,21
WONTHAGGI NORTH,1
WOOD WOOD,1
WOODEND,33
WOODHATCH,1
WOODS POINT,1
WOODSIDE,2
WOODSIDE BEACH,1
WOOLAMAI,2
WOOLSTHORPE,2
WOOMELANG,3
WOORAGEE,3
WOORI YALLOCK,8
WOORINEN,2
WOORINEN SOUTH,1
WOORNDOO,1
WORLD TRADE CENTRE,4
WUNGHNU,2
WURRUK,4
WY YUNG,2
WY YUNG VIA BAIRNSDALE,1
WYCHEPROOF,8
WYE RIVER,4
WYNDHAM VALE,2
WYNDHAMVALE,8
YAAPEET,1
YACKANDANDAH,13
YALLAMBIE,1
YALLOURN,1
YALLOURN NORTH,5
YAMBUK,1
YAN YEAN,1
YANAKIE,2
YANDOIT,1
YANDOIT CREEK,1
YARCK,4
YARRA GLEN,42
YARRA JUNCTION,15
YARRAGON,14
YARRAGON SOUTH,1
YARRAM,15
YARRAMBAT,10
YARRAVILLE,80
YARRAWONGA,34
YARROWEYAH,2
YEA,20
YELLINGBO,2
YERING,14
YINNAR,6
YUROKE,3
