vic_loca_2,num_of_liquor_shops
CLIFTON SPRINGS,6
CLUNES,11
CLYDE,7
CLYDE NORTH,6
COBDEN,10
COBRAM,27
COBURG,76
COBURG NORTH,13
COCKATOO,6
COGHILLS CREEK,3
COHUNA,13
COLAC,46
COLAC EAST,1
COLBINABBIN,9
COLDSTREAM,38
COLERAINE,8
COLLINGWOOD,127
CONDAH,3
CONGUPNA,2
CONNEWARRE,5
COOLAROO,6
COOMA,1
COOPERS CREEK,1
COORIEMUNGLE,3
CORA LYNN,1
CORADJIL VIA COBDEN,1
CORINELLA,5
CORIO,21
CORNELLA,3
CORONET BAY,1
COROP,7
COROROOKE,1
CORRYONG,14
COTTLES BRIDGE,3
COWES,68
COWES  PHILLIP ISLAND,2
COWWARR,3
CRAIGIE,1
CRAIGIEBURN,51
CRAIGIEBURN HIGHLANDS,1
CRANBOURNE,55
CRANBOURNE EAST,8
CRANBOURNE NORTH,6
CRANBOURNE SOUTH,2
CRANBOURNE WEST,12
CREMORNE,19
CRESSY,2
CRESWICK,15
CRIB POINT,6
CROWLANDS,1
CROYDON,77
CROYDON HILLS,2
CROYDON NORTH,5
CROYDON SOUTH,12
CUDGEWA,2
CULGOA,4
CULLULLERAINE,2
CURDIE VALE,1
CURLEWIS,8
CURLEWIS VIA DRYSDALE,1
DADSWELLS BRIDGE,1
DALLAS,2
DALYSTON,2
DANDENONG,87
DANDENONG NORTH,11
DANDENONG SOUTH,18
DANDENONG WEST,1
DARGO,3
DARLEY,2
DARLINGTON,1
DARNUM,2
DARRAWEIT GUIM,1
DARTMOOR,4
DARTMOUTH,1
DAYLESFORD,44
DEANS MARSH,5
DEDERANG,4
DEEPDENE,6
DEER PARK,26
DELACOMBE,2
DELAHEY,3
DELEGATE RIVER,1
DENNINGTON,3
DENVER,2
DEREEL,1
DERGHOLM,1
DERRIMUT,11
DERRINALLUM,5
DEVENISH,1
DEVON MEADOWS,1
DHURRINGILE,1
DIAMOND CREEK,23
DIGBY,1
DIGGERS REST,8
DIMBOOLA,10
DINGEE,2
DINGLEY,10
DINGLEY VILLAGE,7
DINNER PLAIN,11
DIXIE,1
DIXONS CREEK,16
DOCKLANDS,178
DONALD,12
DONCASTER,53
DONCASTER EAST,82
DONCASTER WEST,1
DONNYBROOK,1
DONVALE,11
DOOEN,2
DOOKIE,5
DOOKIE COLLEGE,1
DOREEN,18
DOVETON,17
DROMANA,54
DROPMORE,1
DROUIN,30
DROUIN EAST,3
DROUIN WEST,1
DRUMCONDA,1
DRUMCONDRA,2
DRUMMOND NORTH,2
DRUMMOND VIA KYNETON,1
DRUNG,2
DRY DIGGINGS,2
DRYSDALE,26
DUMBALK,2
DUNKELD,12
DUNNSTOWN,3
DUNOLLY,8
DURHAM LEAD,1
EAGLE POINT,3
EAGLEHAWK,17
EAGLEMONT,4
EAST BALWYN,1
EAST BENTLEIGH,2
EAST BRUNSWICK,4
EAST BURWOOD,1
EAST COBURG,2
EAST DONCASTER,1
EAST GEELONG,8
EAST HAWTHORN,3
EAST IVANHOE,2
EAST KEILOR,1
EAST MALVERN,4
EAST MELBOURNE,42
EAST PRESTON,3
EAST ST KILDA,3
